data,hora,temperatura
04/09/2021,00:00:00,22.6
04/09/2021,01:00:00,22.5
04/09/2021,02:00:00,22.1
04/09/2021,03:00:00,22.1
04/09/2021,04:00:00,22.1
04/09/2021,05:00:00,22.1
04/09/2021,06:00:00,22.8
04/09/2021,07:00:00,24
04/09/2021,08:00:00,24.3
04/09/2021,09:00:00,25.6
04/09/2021,10:00:00,27
04/09/2021,11:00:00,28.3
04/09/2021,12:00:00,28.3
04/09/2021,13:00:00,29.2
04/09/2021,14:00:00,29.6
04/09/2021,15:00:00,28.8
04/09/2021,16:00:00,28.4
04/09/2021,17:00:00,27
04/09/2021,18:00:00,26
04/09/2021,19:00:00,25.2
04/09/2021,20:00:00,21.8
04/09/2021,21:00:00,22
04/09/2021,22:00:00,22
04/09/2021,23:00:00,21.6
04/10/2021,00:00:00,22.1
04/10/2021,01:00:00,21.6
04/10/2021,02:00:00,21.6
04/10/2021,03:00:00,21.6
04/10/2021,04:00:00,21.5
04/10/2021,05:00:00,21.6
04/10/2021,06:00:00,22.1
04/10/2021,07:00:00,23.3
04/10/2021,08:00:00,24.2
04/10/2021,09:00:00,26.2
04/10/2021,10:00:00,26.8
04/10/2021,11:00:00,28.2
04/10/2021,12:00:00,23.2
04/10/2021,13:00:00,26
04/10/2021,14:00:00,25.8
04/10/2021,15:00:00,23.4
04/10/2021,16:00:00,23.4
04/10/2021,17:00:00,23.6
04/10/2021,18:00:00,22.8
04/10/2021,19:00:00,22.8
04/10/2021,20:00:00,22.8
04/10/2021,21:00:00,22.6
04/10/2021,22:00:00,22.6
04/10/2021,23:00:00,22
04/11/2021,00:00:00,21.6
04/11/2021,01:00:00,21.6
04/11/2021,02:00:00,21.6
04/11/2021,03:00:00,21.5
04/11/2021,04:00:00,21.1
04/11/2021,05:00:00,21.1
04/11/2021,06:00:00,21.1
04/11/2021,07:00:00,22
04/11/2021,08:00:00,24
04/11/2021,09:00:00,24.8
04/11/2021,10:00:00,26.8
04/11/2021,11:00:00,27.4
04/11/2021,12:00:00,28
04/11/2021,13:00:00,25
04/11/2021,14:00:00,23.4
04/11/2021,15:00:00,23
04/11/2021,16:00:00,23.6
04/11/2021,17:00:00,23.6
04/11/2021,18:00:00,22.8
04/11/2021,19:00:00,22.6
04/11/2021,20:00:00,22.6
04/11/2021,21:00:00,22.9
04/11/2021,22:00:00,23
04/11/2021,23:00:00,22
04/12/2021,00:00:00,21.6
04/12/2021,01:00:00,21.5
04/12/2021,02:00:00,21.5
04/12/2021,03:00:00,21.1
04/12/2021,04:00:00,21.1
04/12/2021,05:00:00,20.7
04/12/2021,06:00:00,21
04/12/2021,07:00:00,23
04/12/2021,08:00:00,24.4
04/12/2021,09:00:00,26
04/12/2021,10:00:00,26.3
04/12/2021,11:00:00,27.3
04/12/2021,12:00:00,28.6
