nome,data,hora,potencia,
Pow-AC1Triunfo,04/13/2021,10:00:00,1730,627125925926;0;0;1730
Pow-AC1Triunfo,04/13/2021,11:00:00,1155,7935035211267;0;0;1155
Pow-AC1Triunfo,04/13/2021,12:00:00,7,298805970149253;0;0;7
Pow-AC1Triunfo,04/13/2021,13:00:00,0,021098901098901102;0;0;0
Pow-AC1Triunfo,04/13/2021,14:00:00,0,008247011952191234;0;0;0
Pow-AC1Triunfo,04/13/2021,15:00:00,0,017872340425531916;0;0;0
Pow-AC1Triunfo,04/13/2021,16:00:00,0,
Pow-AC1Triunfo,04/13/2021,17:00:00,0,
Pow-AC1Triunfo,04/13/2021,18:00:00,0,
Pow-AC1Triunfo,04/13/2021,19:00:00,0,
Pow-AC1Triunfo,04/13/2021,20:00:00,0,
Pow-AC1Triunfo,04/13/2021,21:00:00,0,
Pow-AC1Triunfo,04/13/2021,22:00:00,0,
Pow-AC1Triunfo,04/13/2021,23:00:00,0,
Pow-AC1Triunfo,04/14/2021,00:00:00,0,
Pow-AC1Triunfo,04/14/2021,01:00:00,0,
Pow-AC1Triunfo,04/14/2021,02:00:00,0,
Pow-AC1Triunfo,04/14/2021,03:00:00,0,
Pow-AC1Triunfo,04/14/2021,04:00:00,0,
Pow-AC1Triunfo,04/14/2021,05:00:00,0,
Pow-AC1Triunfo,04/14/2021,06:00:00,0,
Pow-AC1Triunfo,04/14/2021,07:00:00,0,
Pow-AC1Triunfo,04/14/2021,08:00:00,1607,6119205298012;0;0;1607
Pow-AC1Triunfo,04/14/2021,09:00:00,1854,3931260504205;0;0;1854
Pow-AC1Triunfo,04/14/2021,10:00:00,1895,415879396985;0;0;1895
Pow-AC1Triunfo,04/14/2021,11:00:00,1902,6714761904761;0;0;1902
Pow-AC1Triunfo,04/14/2021,12:00:00,1962,2278036605655;0;0;1962
Pow-AC1Triunfo,04/14/2021,13:00:00,1848,1254602184085;0;0;1848
Pow-AC1Triunfo,04/14/2021,14:00:00,1862,5450076804916;0;0;1862
Pow-AC1Triunfo,04/14/2021,15:00:00,1639,5959601449274;0;0;1639
Pow-AC1Triunfo,04/14/2021,16:00:00,871,7106196581196;0;0;871
Pow-AC1Triunfo,04/14/2021,17:00:00,1082,8649012567325;0;0;1082
Pow-AC1Triunfo,04/14/2021,18:00:00,0,
Pow-AC1Triunfo,04/14/2021,19:00:00,0,
Pow-AC1Triunfo,04/14/2021,20:00:00,0,
