data,hora_utc,hora_simples,temperatura
08/04/2021,0800,08,21.7
08/04/2021,0900,09,22
08/04/2021,1000,10,23.1
08/04/2021,1100,11,24.7
08/04/2021,1200,12,25.9
08/04/2021,1300,13,27.8
08/04/2021,1400,14,28.2
08/04/2021,1500,15,29.4
08/04/2021,1600,16,29.9
08/04/2021,1700,17,30.3
08/04/2021,1800,18,29.6
08/04/2021,1900,19,28.5
08/04/2021,2000,20,27
08/04/2021,2100,21,25.7
08/04/2021,2200,22,24.8
08/04/2021,2300,23,24
09/04/2021,0000,00,23.4
09/04/2021,0100,01,23.1
09/04/2021,0200,02,23
09/04/2021,0300,03,22.8
09/04/2021,0400,04,22.5
09/04/2021,0500,05,22.3
09/04/2021,0600,06,22.2
09/04/2021,0700,07,22.2
09/04/2021,0800,08,22.1
09/04/2021,0900,09,22.5
09/04/2021,1000,10,24.3
09/04/2021,1100,11,24.7
09/04/2021,1200,12,25.2
09/04/2021,1300,13,27
09/04/2021,1400,14,28.7
09/04/2021,1500,15,28.7
09/04/2021,1600,16,29.3
09/04/2021,1700,17,29.1
09/04/2021,1800,18,28.5
09/04/2021,1900,19,27.6
09/04/2021,2000,20,26.9
09/04/2021,2100,21,26.1
09/04/2021,2200,22,25.4
09/04/2021,2300,23,21.7
10/04/2021,0000,00,21.9
10/04/2021,0100,01,22.3
10/04/2021,0200,02,21.8
10/04/2021,0300,03,22.2
10/04/2021,0400,04,21.8
10/04/2021,0500,05,21.6
10/04/2021,0600,06,21.6
10/04/2021,0700,07,21.4
10/04/2021,0800,08,21.6
10/04/2021,0900,09,22.3
10/04/2021,1000,10,23.6
10/04/2021,1100,11,24.4
10/04/2021,1200,12,26.5
10/04/2021,1300,13,26.4
10/04/2021,1400,14,27.1
10/04/2021,1500,15,23.2
10/04/2021,1600,16,26.3
10/04/2021,1700,17,25.6
10/04/2021,1800,18,22.8
10/04/2021,1900,19,22.6
10/04/2021,2000,20,22.9
10/04/2021,2100,21,22.8
10/04/2021,2200,22,22.5
10/04/2021,2300,23,22.4
11/04/2021,0000,00,22.3
11/04/2021,0100,01,22.2
11/04/2021,0200,02,22
11/04/2021,0300,03,21.8
11/04/2021,0400,04,21.7
11/04/2021,0500,05,21.6
11/04/2021,0600,06,21.4
11/04/2021,0700,07,21.3
11/04/2021,0800,08,20.9
11/04/2021,0900,09,21.3
11/04/2021,1000,10,22.3
11/04/2021,1100,11,24.3
11/04/2021,1200,12,24.7
11/04/2021,1300,13,26.6
11/04/2021,1400,14,26.7
11/04/2021,1500,15,28.3
11/04/2021,1600,16,22.4
11/04/2021,1700,17,22.7
11/04/2021,1800,18,23.2
11/04/2021,1900,19,23.3
11/04/2021,2000,20,23.1
11/04/2021,2100,21,22.8
11/04/2021,2200,22,22.3
11/04/2021,2300,23,22.1
12/04/2021,0000,00,22.1
12/04/2021,0100,01,22
12/04/2021,0200,02,21.9
12/04/2021,0300,03,21.8
12/04/2021,0400,04,21.5
12/04/2021,0500,05,21.5
12/04/2021,0600,06,21.2
12/04/2021,0700,07,21
12/04/2021,0800,08,20.8
12/04/2021,0900,09,21.3
12/04/2021,1000,10,23.3
12/04/2021,1100,11,24.9
12/04/2021,1200,12,26.2
12/04/2021,1300,13,26.6
12/04/2021,1400,14,27.6
12/04/2021,1500,15,28
12/04/2021,1600,16,27.5
12/04/2021,1700,17,24.9
12/04/2021,1800,18,27.4
12/04/2021,1900,19,26.1
12/04/2021,2000,20,24.4
12/04/2021,2100,21,23
12/04/2021,2200,22,23.2
12/04/2021,2300,23,22.9
13/04/2021,0000,00,22.7
13/04/2021,0100,01,22.5
13/04/2021,0200,02,22.4
13/04/2021,0300,03,22.3
13/04/2021,0400,04,22.2
13/04/2021,0500,05,22.2
13/04/2021,0600,06,22.1
13/04/2021,0700,07,22
13/04/2021,0800,08,22.1
13/04/2021,0900,09,22.4
13/04/2021,1000,10,23.1
13/04/2021,1100,11,24.2
13/04/2021,1200,12,25.3
13/04/2021,1300,13,27.9
13/04/2021,1400,14,27.8
13/04/2021,1500,15,28.7
13/04/2021,1600,16,28.5
13/04/2021,1700,17,29.2
13/04/2021,1800,18,29.2
13/04/2021,1900,19,27.4
13/04/2021,2000,20,23.6
13/04/2021,2100,21,24
13/04/2021,2200,22,23.9
13/04/2021,2300,23,23.2
14/04/2021,0000,00,23.1
14/04/2021,0100,01,23
14/04/2021,0200,02,22.8
14/04/2021,0300,03,22.9
14/04/2021,0400,04,22.6
14/04/2021,0500,05,22.5
14/04/2021,0600,06,22.4
14/04/2021,0700,07,22.3
14/04/2021,0800,08,22.5
14/04/2021,0900,09,22.9
14/04/2021,1000,10,24.2
14/04/2021,1100,11,25.2
14/04/2021,1200,12,26.5
14/04/2021,1300,13,27.4
14/04/2021,1400,14,28.1
14/04/2021,1500,15,27.6
14/04/2021,1600,16,24
14/04/2021,1700,17,25.6
14/04/2021,1800,18,25.1
14/04/2021,1900,19,24
14/04/2021,2000,20,23.7
14/04/2021,2100,21,23.6
14/04/2021,2200,22,23.5
14/04/2021,2300,23,23.2
15/04/2021,0000,00,23.1
15/04/2021,0100,01,23
15/04/2021,0200,02,23
15/04/2021,0300,03,22.7
15/04/2021,0400,04,22.4
15/04/2021,0500,05,22.4
15/04/2021,0600,06,22.3
15/04/2021,0700,07,22.2
15/04/2021,0800,08,22.1
15/04/2021,0900,09,22.2
15/04/2021,1000,10,22.7
15/04/2021,1100,11,23.7
15/04/2021,1200,12,24.8
15/04/2021,1300,13,26.8
15/04/2021,1400,14,26.7
15/04/2021,1500,15,24.7
15/04/2021,1600,16,23
15/04/2021,1700,17,23.8
15/04/2021,1800,18,22.1
15/04/2021,1900,19,21.9
15/04/2021,2000,20,21.8
15/04/2021,2100,21,21.8
15/04/2021,2200,22,21.9
15/04/2021,2300,23,21.9
16/04/2021,0000,00,21.6
16/04/2021,0100,01,21.6
16/04/2021,0200,02,21.5
16/04/2021,0300,03,21
16/04/2021,0400,04,21.2
16/04/2021,0500,05,21.3
16/04/2021,0600,06,21.1
16/04/2021,0700,07,20.5
16/04/2021,0800,08,20.3
16/04/2021,0900,09,21
16/04/2021,1000,10,22.3
16/04/2021,1100,11,23.9
16/04/2021,1200,12,25.7
16/04/2021,1300,13,26.9
16/04/2021,1400,14,26.7
16/04/2021,1500,15,27.7
16/04/2021,1600,16,28.9
16/04/2021,1700,17,27.3
16/04/2021,1800,18,26.1
16/04/2021,1900,19,25.2
16/04/2021,2000,20,24.3
16/04/2021,2100,21,23.6
16/04/2021,2200,22,23.4
16/04/2021,2300,23,23.1
17/04/2021,0000,00,22.8
17/04/2021,0100,01,22.6
17/04/2021,0200,02,22.4
17/04/2021,0300,03,22.2
17/04/2021,0400,04,22
17/04/2021,0500,05,22.1
17/04/2021,0600,06,22
17/04/2021,0700,07,21.9
17/04/2021,0800,08,22
17/04/2021,0900,09,22.2
17/04/2021,1000,10,22.8
17/04/2021,1100,11,23.7
17/04/2021,1200,12,24.9
17/04/2021,1300,13,26.9
17/04/2021,1400,14,25.5
17/04/2021,1500,15,26.4
17/04/2021,1600,16,26.6
17/04/2021,1700,17,26.7
17/04/2021,1800,18,26.8
17/04/2021,1900,19,25.8
17/04/2021,2000,20,23.4
17/04/2021,2100,21,23
17/04/2021,2200,22,23
17/04/2021,2300,23,22.9
18/04/2021,0000,00,22.8
18/04/2021,0100,01,22.3
18/04/2021,0200,02,21.7
18/04/2021,0300,03,21.5
18/04/2021,0400,04,21.4
18/04/2021,0500,05,21.5
18/04/2021,0600,06,21.4
18/04/2021,0700,07,21.3
18/04/2021,0800,08,21.3
18/04/2021,0900,09,21.4
18/04/2021,1000,10,22.6
18/04/2021,1100,11,23.8
18/04/2021,1200,12,24.6
18/04/2021,1300,13,26.9
18/04/2021,1400,14,23.2
18/04/2021,1500,15,22.9
18/04/2021,1600,16,23.4
18/04/2021,1700,17,22
18/04/2021,1800,18,23.8
18/04/2021,1900,19,24.3
18/04/2021,2000,20,22.7
18/04/2021,2100,21,21.5
18/04/2021,2200,22,21.3
18/04/2021,2300,23,21.2
19/04/2021,0000,00,21.5
19/04/2021,0100,01,21.6
19/04/2021,0200,02,21.7
19/04/2021,0300,03,21.8
19/04/2021,0400,04,21.8
19/04/2021,0500,05,21.5
19/04/2021,0600,06,21.5
19/04/2021,0700,07,21.5
19/04/2021,0800,08,21.5
19/04/2021,0900,09,21.7
19/04/2021,1000,10,22.4
19/04/2021,1100,11,23.7
19/04/2021,1200,12,25.4
19/04/2021,1300,13,25.8
19/04/2021,1400,14,26.5
19/04/2021,1500,15,28.2
19/04/2021,1600,16,28.5
19/04/2021,1700,17,29
19/04/2021,1800,18,25.2
19/04/2021,1900,19,26.1
19/04/2021,2000,20,24.2
19/04/2021,2100,21,23.8
19/04/2021,2200,22,23.1
19/04/2021,2300,23,23
20/04/2021,0000,00,22.7
20/04/2021,0100,01,22.4
20/04/2021,0200,02,22.5
20/04/2021,0300,03,22.2
20/04/2021,0400,04,22.1
20/04/2021,0500,05,22.1
20/04/2021,0600,06,21.9
20/04/2021,0700,07,21.6
20/04/2021,0800,08,21.7
20/04/2021,0900,09,22
20/04/2021,1000,10,22.8
20/04/2021,1100,11,24.1
20/04/2021,1200,12,25.5
20/04/2021,1300,13,26.2
20/04/2021,1400,14,27.8
20/04/2021,1500,15,28.9
20/04/2021,1600,16,29.2
20/04/2021,1700,17,29.5
20/04/2021,1800,18,30
20/04/2021,1900,19,28.5
20/04/2021,2000,20,27
20/04/2021,2100,21,25.5
20/04/2021,2200,22,24.4
20/04/2021,2300,23,23.8
21/04/2021,0000,00,23.4
21/04/2021,0100,01,23.3
21/04/2021,0200,02,22.9
21/04/2021,0300,03,22.9
21/04/2021,0400,04,22.7
21/04/2021,0500,05,22.6
21/04/2021,0600,06,22.4
21/04/2021,0700,07,22.3
21/04/2021,0800,08,22.2
21/04/2021,0900,09,22.4
21/04/2021,1000,10,24.3
21/04/2021,1100,11,25.2
21/04/2021,1200,12,26.5
21/04/2021,1300,13,27.7
21/04/2021,1400,14,27.9
21/04/2021,1500,15,29.5
21/04/2021,1600,16,28.9
21/04/2021,1700,17,29.5
21/04/2021,1800,18,29.4
21/04/2021,1900,19,28.3
21/04/2021,2000,20,26.3
21/04/2021,2100,21,25.5
21/04/2021,2200,22,24.2
21/04/2021,2300,23,23.5
22/04/2021,0000,00,23.2
22/04/2021,0100,01,23
22/04/2021,0200,02,23
22/04/2021,0300,03,22.9
22/04/2021,0400,04,22.8
