data,Hora (UTC),hora_simples,tempExterna
06/10/2021,0000,00,21.9
06/10/2021,0100,01,21.6
06/10/2021,0200,02,21.7
06/10/2021,0300,03,21.6
06/10/2021,0400,04,21.4
06/10/2021,0500,05,21.3
06/10/2021,0600,06,21
06/10/2021,0700,07,21
06/10/2021,0800,08,20.9
06/10/2021,0900,09,21.6
06/10/2021,1000,10,23.8
06/10/2021,1100,11,25.8
06/10/2021,1200,12,27.2
06/10/2021,1300,13,29.5
06/10/2021,1400,14,28.7
06/10/2021,1500,15,30.3
06/10/2021,1600,16,32.4
06/10/2021,1700,17,30.2
06/10/2021,1800,18,28.9
06/10/2021,1900,19,28
06/10/2021,2000,20,26.2
06/10/2021,2100,21,24.4
06/10/2021,2200,22,23.4
06/10/2021,2300,23,22.5
07/10/2021,0000,00,22.5
07/10/2021,0100,01,22.6
07/10/2021,0200,02,22
07/10/2021,0300,03,21.9
07/10/2021,0400,04,21.8
07/10/2021,0500,05,21.6
07/10/2021,0600,06,21.2
07/10/2021,0700,07,21
07/10/2021,0800,08,21
07/10/2021,0900,09,22.1
07/10/2021,1000,10,24.6
07/10/2021,1100,11,25.6
07/10/2021,1200,12,27.2
07/10/2021,1300,13,29.1
07/10/2021,1400,14,29.4
07/10/2021,1500,15,30.9
07/10/2021,1600,16,31.5
07/10/2021,1700,17,31.7
07/10/2021,1800,18,30.6
07/10/2021,1900,19,29.4
07/10/2021,2000,20,25.9
07/10/2021,2100,21,24.5
07/10/2021,2200,22,23.7
07/10/2021,2300,23,22.8
08/10/2021,0000,00,22.3
08/10/2021,0100,01,22
08/10/2021,0200,02,22.1
08/10/2021,0300,03,21.9
08/10/2021,0400,04,21.7
08/10/2021,0500,05,21.6
08/10/2021,0600,06,21.6
08/10/2021,0700,07,21.5
08/10/2021,0800,08,21.3
08/10/2021,0900,09,21.8
08/10/2021,1000,10,22.9
08/10/2021,1100,11,24.6
08/10/2021,1200,12,27.7
08/10/2021,1300,13,28.6
08/10/2021,1400,14,29.7
08/10/2021,1500,15,31
08/10/2021,1600,16,31.5
08/10/2021,1700,17,32.6
08/10/2021,1800,18,31.4
08/10/2021,1900,19,28.9
08/10/2021,2000,20,25.8
08/10/2021,2100,21,24.3
08/10/2021,2200,22,23.5
08/10/2021,2300,23,23.1
09/10/2021,0000,00,22.8
09/10/2021,0100,01,22.5
09/10/2021,0200,02,22.4
09/10/2021,0300,03,22.1
09/10/2021,0400,04,21.8
09/10/2021,0500,05,21.5
09/10/2021,0600,06,21.2
09/10/2021,0700,07,20.9
09/10/2021,0800,08,20.8
09/10/2021,0900,09,21.8
09/10/2021,1000,10,24.3
09/10/2021,1100,11,25.7
09/10/2021,1200,12,26.9
09/10/2021,1300,13,28.2
09/10/2021,1400,14,29.4
09/10/2021,1500,15,30.1
09/10/2021,1600,16,30.7
09/10/2021,1700,17,30.9
09/10/2021,1800,18,29.6
09/10/2021,1900,19,27.9
09/10/2021,2000,20,25.7
09/10/2021,2100,21,24.1
09/10/2021,2200,22,23
09/10/2021,2300,23,22.4
10/10/2021,0000,00,21.9
10/10/2021,0100,01,21.5
10/10/2021,0200,02,20.8
10/10/2021,0300,03,20.5
10/10/2021,0400,04,20.3
10/10/2021,0500,05,20.1
10/10/2021,0600,06,19.6
10/10/2021,0700,07,19.5
10/10/2021,0800,08,19.7
10/10/2021,0900,09,21.4
10/10/2021,1000,10,23.4
10/10/2021,1100,11,24.3
10/10/2021,1200,12,25.7
10/10/2021,1300,13,26.8
10/10/2021,1400,14,28.2
10/10/2021,1500,15,29.1
10/10/2021,1600,16,29.1
10/10/2021,1700,17,29.4
10/10/2021,1800,18,30
10/10/2021,1900,19,28.2
10/10/2021,2000,20,26.1
10/10/2021,2100,21,24.8
10/10/2021,2200,22,23.8
10/10/2021,2300,23,22.9
11/10/2021,0000,00,22.3
11/10/2021,0100,01,22.1
11/10/2021,0200,02,21.5
11/10/2021,0300,03,21.2
11/10/2021,0400,04,21.2
11/10/2021,0500,05,21
11/10/2021,0600,06,21.1
11/10/2021,0700,07,20.9
11/10/2021,0800,08,20.7
11/10/2021,0900,09,21.3
11/10/2021,1000,10,22.8
11/10/2021,1100,11,24.4
11/10/2021,1200,12,26.7
11/10/2021,1300,13,29.4
11/10/2021,1400,14,29.6
11/10/2021,1500,15,31.1
11/10/2021,1600,16,31.3
11/10/2021,1700,17,31.6
11/10/2021,1800,18,31.1
11/10/2021,1900,19,29.4
11/10/2021,2000,20,27.2
11/10/2021,2100,21,25.4
11/10/2021,2200,22,23.8
11/10/2021,2300,23,22.9
12/10/2021,0000,00,22.3
12/10/2021,0100,01,21.9
12/10/2021,0200,02,21.6
12/10/2021,0300,03,21.4
12/10/2021,0400,04,21.4
12/10/2021,0500,05,21
12/10/2021,0600,06,21.1
12/10/2021,0700,07,21
12/10/2021,0800,08,21.2
