data,Hora (UTC),hora_simples,tempExterna
12/10/2021,0900,09,21.7
12/10/2021,1000,10,23.2
12/10/2021,1100,11,25
12/10/2021,1200,12,26.2
12/10/2021,1300,13,28.4
12/10/2021,1400,14,30.2
12/10/2021,1500,15,29.9
12/10/2021,1600,16,30.4
12/10/2021,1700,17,30.3
12/10/2021,1800,18,29.8
12/10/2021,1900,19,28.2
12/10/2021,2000,20,26.4
12/10/2021,2100,21,24.8
12/10/2021,2200,22,23.6
12/10/2021,2300,23,22.5
13/10/2021,0000,00,21.8
13/10/2021,0100,01,21.3
13/10/2021,0200,02,21.2
13/10/2021,0300,03,20.9
13/10/2021,0400,04,20.9
13/10/2021,0500,05,20.8
13/10/2021,0600,06,20.8
13/10/2021,0700,07,21
13/10/2021,0800,08,20.7
13/10/2021,0900,09,21.6
13/10/2021,1000,10,24.2
13/10/2021,1100,11,25.8
13/10/2021,1200,12,26.7
13/10/2021,1300,13,27.7
13/10/2021,1400,14,29.3
13/10/2021,1500,15,30.4
13/10/2021,1600,16,31
13/10/2021,1700,17,31
13/10/2021,1800,18,29.8
13/10/2021,1900,19,28.7
13/10/2021,2000,20,26.5
13/10/2021,2100,21,24.8
13/10/2021,2200,22,23.5
13/10/2021,2300,23,22.8
14/10/2021,0000,00,22.4
14/10/2021,0100,01,22.1
14/10/2021,0200,02,21.6
14/10/2021,0300,03,21.4
14/10/2021,0400,04,21.3
14/10/2021,0500,05,21.3
14/10/2021,0600,06,21.4
14/10/2021,0700,07,21.3
14/10/2021,0800,08,21.5
14/10/2021,0900,09,22.5
14/10/2021,1000,10,23.1
14/10/2021,1100,11,24.1
14/10/2021,1200,12,25.6
14/10/2021,1300,13,26.4
14/10/2021,1400,14,27.2
14/10/2021,1500,15,27
14/10/2021,1600,16,26.3
14/10/2021,1700,17,24.5
14/10/2021,1800,18,23.2
14/10/2021,1900,19,23.9
14/10/2021,2000,20,22.9
14/10/2021,2100,21,21.6
14/10/2021,2200,22,21.8
14/10/2021,2300,23,21.5
15/10/2021,0000,00,21.8
15/10/2021,0100,01,22
15/10/2021,0200,02,21.8
15/10/2021,0300,03,22
15/10/2021,0400,04,21.7
15/10/2021,0500,05,21.7
15/10/2021,0600,06,21.5
15/10/2021,0700,07,21.5
15/10/2021,0800,08,21.3
15/10/2021,0900,09,22.3
15/10/2021,1000,10,23.6
15/10/2021,1100,11,25
15/10/2021,1200,12,26.8
15/10/2021,1300,13,27.6
15/10/2021,1400,14,28.5
15/10/2021,1500,15,30.1
15/10/2021,1600,16,30.1
15/10/2021,1700,17,29.5
15/10/2021,1800,18,29.3
15/10/2021,1900,19,27.3
15/10/2021,2000,20,25.4
15/10/2021,2100,21,24.3
15/10/2021,2200,22,23.3
15/10/2021,2300,23,22.8
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
,,00,
