nome,data,hora,potencia,hora_simples
Pow-ACSuporte,06/10/2021,00:00:00,0,00
Pow-ACSuporte,06/10/2021,01:00:00,0,01
Pow-ACSuporte,06/10/2021,02:00:00,0,02
Pow-ACSuporte,06/10/2021,03:00:00,0,03
Pow-ACSuporte,06/10/2021,04:00:00,0,04
Pow-ACSuporte,06/10/2021,05:00:00,0,05
Pow-ACSuporte,06/10/2021,06:00:00,0,06
Pow-ACSuporte,06/10/2021,07:00:00,1631,07
Pow-ACSuporte,06/10/2021,08:00:00,1911,08
Pow-ACSuporte,06/10/2021,09:00:00,1985,09
Pow-ACSuporte,06/10/2021,10:00:00,2032,10
Pow-ACSuporte,06/10/2021,11:00:00,1947,11
Pow-ACSuporte,06/10/2021,12:00:00,1913,12
Pow-ACSuporte,06/10/2021,13:00:00,1846,13
Pow-ACSuporte,06/10/2021,14:00:00,1943,14
Pow-ACSuporte,06/10/2021,15:00:00,2037,15
Pow-ACSuporte,06/10/2021,16:00:00,1994,16
Pow-ACSuporte,06/10/2021,17:00:00,766,17
Pow-ACSuporte,06/10/2021,18:00:00,0,18
Pow-ACSuporte,06/10/2021,19:00:00,0,19
Pow-ACSuporte,06/10/2021,20:00:00,0,20
Pow-ACSuporte,06/10/2021,21:00:00,0,21
Pow-ACSuporte,06/10/2021,22:00:00,0,22
Pow-ACSuporte,06/10/2021,23:00:00,0,23
Pow-ACSuporte,07/10/2021,00:00:00,0,00
Pow-ACSuporte,07/10/2021,01:00:00,0,01
Pow-ACSuporte,07/10/2021,02:00:00,0,02
Pow-ACSuporte,07/10/2021,03:00:00,0,03
Pow-ACSuporte,07/10/2021,04:00:00,0,04
Pow-ACSuporte,07/10/2021,05:00:00,0,05
Pow-ACSuporte,07/10/2021,06:00:00,0,06
Pow-ACSuporte,07/10/2021,07:00:00,1371,07
Pow-ACSuporte,07/10/2021,08:00:00,1989,08
Pow-ACSuporte,07/10/2021,09:00:00,2029,09
Pow-ACSuporte,07/10/2021,10:00:00,2051,10
Pow-ACSuporte,07/10/2021,11:00:00,2077,11
Pow-ACSuporte,07/10/2021,12:00:00,2120,12
Pow-ACSuporte,07/10/2021,13:00:00,2078,13
Pow-ACSuporte,07/10/2021,14:00:00,2066,14
Pow-ACSuporte,07/10/2021,15:00:00,2058,15
Pow-ACSuporte,07/10/2021,16:00:00,2023,16
Pow-ACSuporte,07/10/2021,17:00:00,1489,17
Pow-ACSuporte,07/10/2021,18:00:00,0,18
Pow-ACSuporte,07/10/2021,19:00:00,0,19
Pow-ACSuporte,07/10/2021,20:00:00,0,20
Pow-ACSuporte,07/10/2021,21:00:00,0,21
Pow-ACSuporte,07/10/2021,22:00:00,0,22
Pow-ACSuporte,07/10/2021,23:00:00,0,23
Pow-ACSuporte,08/10/2021,00:00:00,0,00
Pow-ACSuporte,08/10/2021,01:00:00,0,01
Pow-ACSuporte,08/10/2021,02:00:00,0,02
Pow-ACSuporte,08/10/2021,03:00:00,0,03
Pow-ACSuporte,08/10/2021,04:00:00,0,04
Pow-ACSuporte,08/10/2021,05:00:00,0,05
Pow-ACSuporte,08/10/2021,06:00:00,0,06
Pow-ACSuporte,08/10/2021,07:00:00,1485,07
Pow-ACSuporte,08/10/2021,08:00:00,1926,08
