nome,data,hora,potencia,hora_simples,,
Pow-ACSuporte,04/05/2021,16:00:00,1186,16,,
Pow-ACSuporte,04/05/2021,17:00:00,726,17,,
Pow-ACSuporte,04/05/2021,18:00:00,0,18,,
Pow-ACSuporte,04/05/2021,19:00:00,0,19,,
Pow-ACSuporte,04/05/2021,20:00:00,0,20,,
Pow-ACSuporte,04/05/2021,21:00:00,0,21,,
Pow-ACSuporte,04/05/2021,22:00:00,0,22,,
Pow-ACSuporte,04/05/2021,23:00:00,0,23,,
Pow-ACSuporte,04/06/2021,00:00:00,0,00,,
Pow-ACSuporte,04/06/2021,01:00:00,0,01,,
Pow-ACSuporte,04/06/2021,02:00:00,0,02,,
Pow-ACSuporte,04/06/2021,03:00:00,0,03,,
Pow-ACSuporte,04/06/2021,04:00:00,0,04,,
Pow-ACSuporte,04/06/2021,05:00:00,0,05,,
Pow-ACSuporte,04/06/2021,06:00:00,0,06,,
Pow-ACSuporte,04/06/2021,07:00:00,0,07,,
Pow-ACSuporte,04/06/2021,08:00:00,0,08,,
Pow-ACSuporte,04/06/2021,09:00:00,1879,09,,
Pow-ACSuporte,04/06/2021,10:00:00,2014,10,,
Pow-ACSuporte,04/06/2021,16:00:00,2036,16,,
Pow-ACSuporte,04/06/2021,17:00:00,2014,17,,
Pow-ACSuporte,04/06/2021,18:00:00,158,18,,
Pow-ACSuporte,04/06/2021,19:00:00,0,19,,
Pow-ACSuporte,04/06/2021,20:00:00,0,20,,
Pow-ACSuporte,04/06/2021,21:00:00,0,21,,
Pow-ACSuporte,04/06/2021,22:00:00,0,22,,
Pow-ACSuporte,04/06/2021,23:00:00,0,23,,
Pow-ACSuporte,04/07/2021,00:00:00,0,00,,
Pow-ACSuporte,04/07/2021,01:00:00,0,01,,
Pow-ACSuporte,04/07/2021,02:00:00,0,02,,
Pow-ACSuporte,04/07/2021,03:00:00,0,03,,
Pow-ACSuporte,04/07/2021,04:00:00,0,04,,
Pow-ACSuporte,04/07/2021,05:00:00,0,05,,
Pow-ACSuporte,04/07/2021,06:00:00,0,06,,
Pow-ACSuporte,04/07/2021,18:00:00,1995,18,,
Pow-ACSuporte,04/07/2021,19:00:00,610,19,,
Pow-ACSuporte,04/07/2021,20:00:00,0,20,,
Pow-ACSuporte,04/07/2021,21:00:00,0,21,,
Pow-ACSuporte,04/07/2021,22:00:00,0,22,,
Pow-ACSuporte,04/07/2021,23:00:00,0,23,,
Pow-ACSuporte,04/08/2021,00:00:00,0,00,,
Pow-ACSuporte,04/08/2021,01:00:00,0,01,,
Pow-ACSuporte,04/08/2021,02:00:00,0,02,,
Pow-ACSuporte,04/08/2021,03:00:00,0,03,,
Pow-ACSuporte,04/08/2021,04:00:00,0,04,,
Pow-ACSuporte,04/08/2021,05:00:00,0,05,,
Pow-ACSuporte,04/08/2021,06:00:00,1,06,,
Pow-ACSuporte,04/08/2021,07:00:00,0,07,,
Pow-ACSuporte,04/08/2021,08:00:00,0,08,,0
Pow-ACSuporte,04/08/2021,09:00:00,1456,09,,
Pow-ACSuporte,04/08/2021,10:00:00,2008,10,,
Pow-ACSuporte,04/08/2021,11:00:00,2075,11,,
Pow-ACSuporte,04/08/2021,12:00:00,2095,12,,
Pow-ACSuporte,04/08/2021,13:00:00,2054,13,,
Pow-ACSuporte,04/08/2021,14:00:00,2018,14,,
Pow-ACSuporte,04/08/2021,15:00:00,2022,15,,
Pow-ACSuporte,04/08/2021,16:00:00,2009,16,,
Pow-ACSuporte,04/08/2021,17:00:00,2008,17,,
Pow-ACSuporte,04/08/2021,18:00:00,1168,18,,
Pow-ACSuporte,04/08/2021,19:00:00,0,19,,0
Pow-ACSuporte,04/08/2021,20:00:00,0,20,,0
Pow-ACSuporte,04/08/2021,21:00:00,0,21,,0
Pow-ACSuporte,04/08/2021,22:00:00,0,22,,0
Pow-ACSuporte,04/08/2021,23:00:00,0,23,,0
Pow-ACSuporte,04/09/2021,00:00:00,0,00,,0
Pow-ACSuporte,04/09/2021,01:00:00,0,01,,0
Pow-ACSuporte,04/09/2021,02:00:00,0,02,,0
Pow-ACSuporte,04/09/2021,03:00:00,0,03,,0
Pow-ACSuporte,04/09/2021,04:00:00,0,04,,0
Pow-ACSuporte,04/09/2021,05:00:00,0,05,,0
Pow-ACSuporte,04/09/2021,06:00:00,0,06,,0
Pow-ACSuporte,04/09/2021,07:00:00,0,07,,0
Pow-ACSuporte,04/09/2021,08:00:00,1148,08,,
Pow-ACSuporte,04/09/2021,09:00:00,1958,09,,
Pow-ACSuporte,04/09/2021,10:00:00,2012,10,,
Pow-ACSuporte,04/09/2021,11:00:00,2022,11,,
Pow-ACSuporte,04/09/2021,12:00:00,2069,12,,
Pow-ACSuporte,04/09/2021,13:00:00,2073,13,,
Pow-ACSuporte,04/09/2021,14:00:00,2051,14,,
Pow-ACSuporte,04/09/2021,15:00:00,2004,15,,
Pow-ACSuporte,04/09/2021,16:00:00,2024,16,,
Pow-ACSuporte,04/09/2021,17:00:00,2007,17,,
Pow-ACSuporte,04/09/2021,18:00:00,1118,18,,
Pow-ACSuporte,04/09/2021,19:00:00,0,19,,
Pow-ACSuporte,04/09/2021,20:00:00,0,20,,
Pow-ACSuporte,04/09/2021,21:00:00,0,21,,
Pow-ACSuporte,04/09/2021,22:00:00,0,22,,
Pow-ACSuporte,04/09/2021,23:00:00,0,23,,
Pow-ACSuporte,04/10/2021,00:00:00,0,00,,
Pow-ACSuporte,04/10/2021,01:00:00,0,01,,
Pow-ACSuporte,04/10/2021,02:00:00,0,02,,
Pow-ACSuporte,04/10/2021,03:00:00,0,03,,
Pow-ACSuporte,04/10/2021,04:00:00,0,04,,
Pow-ACSuporte,04/10/2021,05:00:00,0,05,,
Pow-ACSuporte,04/10/2021,06:00:00,0,06,,
Pow-ACSuporte,04/10/2021,07:00:00,0,07,,
Pow-ACSuporte,04/10/2021,08:00:00,0,08,,
Pow-ACSuporte,04/10/2021,09:00:00,0,09,,
Pow-ACSuporte,04/10/2021,10:00:00,0,10,,
Pow-ACSuporte,04/10/2021,11:00:00,0,11,,
Pow-ACSuporte,04/10/2021,12:00:00,0,12,,
Pow-ACSuporte,04/10/2021,13:00:00,0,13,,
Pow-ACSuporte,04/10/2021,14:00:00,0,14,,
Pow-ACSuporte,04/10/2021,15:00:00,0,15,,
Pow-ACSuporte,04/10/2021,16:00:00,0,16,,
Pow-ACSuporte,04/10/2021,17:00:00,0,17,,
Pow-ACSuporte,04/10/2021,18:00:00,0,18,,
Pow-ACSuporte,04/10/2021,19:00:00,0,19,,
Pow-ACSuporte,04/10/2021,20:00:00,0,20,,
Pow-ACSuporte,04/10/2021,21:00:00,0,21,,
Pow-ACSuporte,04/10/2021,22:00:00,0,22,,
Pow-ACSuporte,04/10/2021,23:00:00,0,23,,
Pow-ACSuporte,04/11/2021,00:00:00,0,00,,
Pow-ACSuporte,04/11/2021,01:00:00,0,01,,
Pow-ACSuporte,04/11/2021,02:00:00,0,02,,
Pow-ACSuporte,04/11/2021,03:00:00,0,03,,
Pow-ACSuporte,04/11/2021,04:00:00,0,04,,
Pow-ACSuporte,04/11/2021,05:00:00,0,05,,
Pow-ACSuporte,04/11/2021,06:00:00,0,06,,
Pow-ACSuporte,04/11/2021,07:00:00,0,07,,
