data,hora,sala,temperatura,hora_simples
06/10/2021,04:03:25,TH-Suporte,27.3,04
06/10/2021,07:00:00,TH teste,27.8,07
06/10/2021,07:00:00,TH-Caruru,27.2,07
06/10/2021,07:00:00,TH-Suporte,27.8,07
06/10/2021,08:00:00,TH-Caruru,27.2,08
06/10/2021,08:00:00,TH teste,27.8,08
06/10/2021,08:00:00,TH-Suporte,25.4,08
06/10/2021,09:00:00,TH-Suporte,24.4,09
06/10/2021,09:00:00,TH-Caruru,25.9,09
06/10/2021,09:00:01,TH teste,27.8,09
06/10/2021,10:00:00,TH-Caruru,25.8,10
06/10/2021,10:00:00,TH teste,27.8,10
06/10/2021,10:00:01,TH-Suporte,23.9,10
06/10/2021,11:00:00,TH-Caruru,25.8,11
06/10/2021,11:00:00,TH teste,27.8,11
06/10/2021,11:00:01,TH-Suporte,23.3,11
06/10/2021,12:00:00,TH teste,27.8,12
06/10/2021,12:00:00,TH-Suporte,22.4,12
06/10/2021,12:00:00,TH-Caruru,25.3,12
06/10/2021,13:00:00,TH-Suporte,22.4,13
06/10/2021,13:00:01,TH-Caruru,25.9,13
06/10/2021,13:00:01,TH teste,27.8,13
06/10/2021,14:00:00,TH-Suporte,22.3,14
06/10/2021,14:00:01,TH teste,27.8,14
06/10/2021,14:00:01,TH-Caruru,26.5,14
06/10/2021,15:00:00,TH-Caruru,26.5,15
06/10/2021,15:00:01,TH-Suporte,22.9,15
06/10/2021,15:00:01,TH teste,27.8,15
06/10/2021,16:00:00,TH-Suporte,23.2,16
06/10/2021,16:00:00,TH teste,27.8,16
06/10/2021,16:00:01,TH-Caruru,27.1,16
06/10/2021,17:00:00,TH-Suporte,22.6,17
06/10/2021,17:00:00,TH teste,27.8,17
06/10/2021,17:00:00,TH-Caruru,27.1,17
06/10/2021,18:00:00,TH-Caruru,27.1,18
06/10/2021,18:00:00,TH teste,27.8,18
06/10/2021,18:00:00,TH-Suporte,25.1,18
06/10/2021,19:00:00,TH teste,27.8,19
06/10/2021,19:00:00,TH-Suporte,25.7,19
06/10/2021,19:00:08,TH-Caruru,27.1,19
06/10/2021,20:00:00,TH teste,27.8,20
06/10/2021,20:00:01,TH-Suporte,26.3,20
06/10/2021,20:00:01,TH-Caruru,27.1,20
07/10/2021,07:00:00,TH-Suporte,27.6,07
07/10/2021,07:00:00,TH-Caruru,27.3,07
07/10/2021,07:00:00,TH teste,27.8,07
07/10/2021,08:00:00,TH-Caruru,27.3,08
07/10/2021,08:00:01,TH teste,27.8,08
07/10/2021,08:00:01,TH-Suporte,24.6,08
07/10/2021,09:00:00,TH teste,27.8,09
07/10/2021,09:00:00,TH-Caruru,27.3,09
07/10/2021,09:00:01,TH-Suporte,23.6,09
07/10/2021,10:00:00,TH teste,27.8,10
07/10/2021,10:00:01,TH-Caruru,27.3,10
07/10/2021,10:00:01,TH-Suporte,23.6,10
07/10/2021,11:00:00,TH-Suporte,23.6,11
07/10/2021,11:00:00,TH-Caruru,27.3,11
07/10/2021,11:00:01,TH teste,27.8,11
07/10/2021,12:00:03,TH teste,27.8,12
07/10/2021,12:00:03,TH-Suporte,23.5,12
07/10/2021,12:00:04,TH-Caruru,27.3,12
07/10/2021,13:00:00,TH-Caruru,27.8,13
07/10/2021,13:00:00,TH teste,27.8,13
07/10/2021,13:00:01,TH-Suporte,23.5,13
07/10/2021,14:00:00,TH-Caruru,27.8,14
07/10/2021,14:00:01,TH-Suporte,22.9,14
07/10/2021,14:00:01,TH teste,27.8,14
07/10/2021,15:00:00,TH-Suporte,22.9,15
07/10/2021,15:00:01,TH teste,27.8,15
07/10/2021,15:00:01,TH-Caruru,27.8,15
07/10/2021,16:00:00,TH teste,27.8,16
07/10/2021,16:00:00,TH-Suporte,22.6,16
07/10/2021,16:00:01,TH-Caruru,27.8,16
07/10/2021,17:00:00,TH-Suporte,22.8,17
07/10/2021,17:00:00,TH-Caruru,28.4,17
07/10/2021,17:00:01,TH teste,27.8,17
07/10/2021,18:00:00,TH teste,27.8,18
07/10/2021,18:00:00,TH-Caruru,28.4,18
07/10/2021,18:00:01,TH-Suporte,25.1,18
07/10/2021,19:00:00,TH-Caruru,28.4,19
07/10/2021,19:00:01,TH-Suporte,25.7,19
07/10/2021,19:00:01,TH teste,27.8,19
07/10/2021,20:00:00,TH teste,27.8,20
07/10/2021,20:00:01,TH-Suporte,26.3,20
07/10/2021,20:00:02,TH-Caruru,28.4,20
08/10/2021,07:00:00,TH-Suporte,27.8,07
08/10/2021,07:00:01,TH teste,27.8,07
08/10/2021,07:00:01,TH-Caruru,28.2,07
08/10/2021,08:00:01,TH-Suporte,24.2,08
08/10/2021,08:00:01,TH teste,27.8,08
08/10/2021,08:00:01,TH-Caruru,28.2,08
08/10/2021,09:00:00,TH-Caruru,28.2,09
08/10/2021,09:00:01,TH teste,27.8,09
08/10/2021,09:00:01,TH-Suporte,23.3,09
08/10/2021,10:00:00,TH-Suporte,22.9,10
08/10/2021,10:00:00,TH-Caruru,28.2,10
08/10/2021,10:00:01,TH teste,27.8,10
08/10/2021,11:00:00,TH teste,27.8,11
08/10/2021,11:00:01,TH-Caruru,28.2,11
08/10/2021,11:00:01,TH-Suporte,22.3,11
08/10/2021,12:00:02,TH teste,27.8,12
08/10/2021,12:00:02,TH-Suporte,22.1,12
08/10/2021,12:00:03,TH-Caruru,28.2,12
08/10/2021,13:00:01,TH teste,27.8,13
08/10/2021,13:00:01,TH-Caruru,28.2,13
08/10/2021,13:00:01,TH-Suporte,21.9,13
08/10/2021,14:00:00,TH teste,27.8,14
08/10/2021,14:00:00,TH-Suporte,21.9,14
08/10/2021,14:00:01,TH-Caruru,28.2,14
08/10/2021,15:00:00,TH-Caruru,28.2,15
08/10/2021,15:00:01,TH-Suporte,21.6,15
08/10/2021,15:00:01,TH teste,27.8,15
08/10/2021,16:00:01,TH-Suporte,24.0,16
08/10/2021,16:00:01,TH-Caruru,28.2,16
08/10/2021,16:00:01,TH teste,27.8,16
08/10/2021,17:00:00,TH-Caruru,28.2,17
08/10/2021,17:00:01,TH-Suporte,23.4,17
08/10/2021,17:00:02,TH teste,27.8,17
08/10/2021,18:00:00,TH-Suporte,25.8,18
08/10/2021,18:00:00,TH-Caruru,28.2,18
08/10/2021,18:00:00,TH teste,27.8,18
08/10/2021,19:00:00,TH teste,27.8,19
08/10/2021,19:00:00,TH-Suporte,26.4,19
08/10/2021,19:00:01,TH-Caruru,28.2,19
08/10/2021,20:00:00,TH-Suporte,26.4,20
08/10/2021,20:00:00,TH-Caruru,28.2,20
08/10/2021,20:00:01,TH teste,27.8,20
13/10/2021,04:07:51,TH-Caruru,29.0,04
13/10/2021,04:07:51,TH-Suporte,29.6,04
13/10/2021,04:07:51,TH teste,27.8,04
13/10/2021,07:00:00,TH teste,27.8,07
13/10/2021,07:00:00,TH-Suporte,29.6,07
13/10/2021,07:00:01,TH-Caruru,28.4,07
13/10/2021,08:00:00,TH-Caruru,28.4,08
13/10/2021,08:00:00,TH teste,27.8,08
13/10/2021,08:00:00,TH-Suporte,26.0,08
13/10/2021,09:00:00,TH-Caruru,28.4,09
13/10/2021,09:00:00,TH-Suporte,24.5,09
13/10/2021,09:00:01,TH teste,27.8,09
13/10/2021,10:00:00,TH-Suporte,24.2,10
13/10/2021,10:00:01,TH teste,27.8,10
13/10/2021,10:00:01,TH-Caruru,28.4,10
13/10/2021,11:00:00,TH-Caruru,28.4,11
13/10/2021,11:00:00,TH teste,27.8,11
13/10/2021,11:00:01,TH-Suporte,23.6,11
13/10/2021,12:00:02,TH-Caruru,28.4,12
13/10/2021,12:00:02,TH-Suporte,24.2,12
13/10/2021,12:00:02,TH teste,27.8,12
13/10/2021,13:00:00,TH teste,27.8,13
13/10/2021,13:00:00,TH-Suporte,23.8,13
13/10/2021,13:00:00,TH-Caruru,28.4,13
13/10/2021,14:00:00,TH teste,27.8,14
13/10/2021,14:00:00,TH-Suporte,23.2,14
13/10/2021,14:00:00,TH-Caruru,29.0,14
13/10/2021,15:00:00,TH-Caruru,29.0,15
13/10/2021,15:00:00,TH-Suporte,25.6,15
13/10/2021,15:00:01,TH teste,27.8,15
13/10/2021,16:00:00,TH-Caruru,29.0,16
13/10/2021,16:00:00,TH teste,27.8,16
13/10/2021,16:00:00,TH-Suporte,26.2,16
13/10/2021,17:00:00,TH teste,27.8,17
13/10/2021,17:00:01,TH-Caruru,29.0,17
13/10/2021,17:00:01,TH-Suporte,26.8,17
13/10/2021,18:00:01,TH-Suporte,27.4,18
13/10/2021,18:00:01,TH teste,27.8,18
13/10/2021,18:00:01,TH-Caruru,29.0,18
13/10/2021,19:00:00,TH-Caruru,29.0,19
13/10/2021,19:00:00,TH-Suporte,27.4,19
13/10/2021,19:00:01,TH teste,27.8,19
13/10/2021,20:00:00,TH-Suporte,28.0,20
13/10/2021,20:00:00,TH-Caruru,29.0,20
13/10/2021,20:00:02,TH teste,27.8,20
14/10/2021,07:00:00,TH-Suporte,28.8,07
14/10/2021,07:00:00,TH teste,27.8,07
14/10/2021,07:00:00,TH-Caruru,28.5,07
14/10/2021,08:00:00,TH-Suporte,27.6,08
14/10/2021,08:00:00,TH teste,27.8,08
14/10/2021,08:00:01,TH-Caruru,28.5,08
14/10/2021,09:00:00,TH-Suporte,24.8,09
14/10/2021,09:00:00,TH teste,27.8,09
