data,hora,sala,temperatura,hora_simples
09/09/2021,14:00:01,TH-Caruru,26.3,14
09/09/2021,15:00:01,TH-Suporte,23.0,15
09/09/2021,15:00:01,TH-Caruru,26.3,15
09/09/2021,15:00:01,TH teste,27.8,15
09/09/2021,16:00:00,TH teste,27.8,16
09/09/2021,16:00:00,TH-Suporte,23.3,16
09/09/2021,16:00:01,TH-Caruru,26.4,16
09/09/2021,17:00:00,TH-Suporte,23.0,17
09/09/2021,17:00:00,TH-Caruru,26.5,17
09/09/2021,17:00:00,TH teste,27.8,17
09/09/2021,18:00:00,TH-Suporte,24.4,18
09/09/2021,18:00:00,TH-Caruru,26.5,18
09/09/2021,18:00:01,TH teste,27.8,18
09/09/2021,19:00:00,TH teste,27.8,19
09/09/2021,19:00:01,TH-Suporte,25.6,19
09/09/2021,19:00:01,TH-Caruru,26.5,19
09/09/2021,20:00:00,TH-Suporte,26.2,20
09/09/2021,20:00:01,TH teste,27.8,20
09/09/2021,20:00:01,TH-Caruru,26.5,20
09/10/2021,04:01:21,TH teste,27.8,04
09/10/2021,04:01:21,TH-Suporte,26.8,04
09/10/2021,04:01:21,TH-Caruru,26.5,04
09/10/2021,07:00:00,TH teste,27.8,07
09/10/2021,07:00:00,TH-Caruru,25.9,07
09/10/2021,07:00:01,TH-Suporte,27.1,07
09/10/2021,08:00:00,TH teste,27.8,08
09/10/2021,08:00:00,TH-Caruru,25.9,08
09/10/2021,08:00:01,TH-Suporte,27.1,08
09/10/2021,09:00:00,TH-Caruru,25.9,09
09/10/2021,09:00:00,TH teste,27.8,09
09/10/2021,09:00:01,TH-Suporte,24.7,09
09/10/2021,10:00:00,TH teste,27.8,10
09/10/2021,10:00:00,TH-Suporte,23.4,10
09/10/2021,10:00:01,TH-Caruru,25.9,10
09/10/2021,11:00:00,TH teste,27.8,11
09/10/2021,11:00:00,TH-Suporte,23.3,11
09/10/2021,11:00:01,TH-Caruru,25.9,11
09/10/2021,12:00:02,TH-Caruru,26.1,12
09/10/2021,12:00:02,TH teste,27.8,12
09/10/2021,12:00:02,TH-Suporte,23.2,12
09/10/2021,13:00:00,TH teste,27.8,13
09/10/2021,13:00:00,TH-Caruru,26.1,13
09/10/2021,13:00:00,TH-Suporte,23.0,13
09/10/2021,14:00:00,TH-Caruru,26.1,14
09/10/2021,14:00:00,TH-Suporte,23.1,14
09/10/2021,14:00:00,TH teste,27.8,14
09/10/2021,15:00:00,TH teste,27.8,15
09/10/2021,15:00:01,TH-Caruru,26.7,15
09/10/2021,15:00:01,TH-Suporte,23.2,15
09/10/2021,16:00:00,TH teste,27.8,16
09/10/2021,16:00:00,TH-Caruru,26.7,16
09/10/2021,16:00:00,TH-Suporte,23.0,16
09/10/2021,17:00:00,TH-Suporte,23.0,17
09/10/2021,17:00:00,TH teste,27.8,17
09/10/2021,17:00:01,TH-Caruru,26.8,17
09/10/2021,18:00:01,TH-Caruru,26.8,18
09/10/2021,18:00:01,TH-Suporte,24.2,18
09/10/2021,18:00:01,TH teste,27.8,18
09/10/2021,19:00:00,TH teste,27.8,19
09/10/2021,19:00:00,TH-Caruru,26.9,19
09/10/2021,19:00:00,TH-Suporte,25.4,19
09/10/2021,20:00:01,TH-Caruru,27.0,20
09/10/2021,20:00:01,TH-Suporte,26.0,20
09/10/2021,20:00:01,TH teste,27.8,20
09/13/2021,03:51:27,TH-Caruru,27.2,03
09/13/2021,03:51:27,TH-Suporte,28.9,03
09/13/2021,03:51:27,TH teste,27.8,03
09/13/2021,07:00:00,TH-Caruru,26.6,07
09/13/2021,07:00:01,TH teste,27.8,07
09/13/2021,07:00:01,TH-Suporte,28.6,07
09/13/2021,08:00:00,TH-Caruru,26.6,08
09/13/2021,08:00:00,TH teste,27.8,08
09/13/2021,08:00:00,TH-Suporte,28.6,08
09/13/2021,09:00:00,TH-Suporte,28.0,09
09/13/2021,09:00:00,TH-Caruru,26.5,09
09/13/2021,09:00:01,TH teste,27.8,09
09/13/2021,10:00:00,TH-Caruru,26.5,10
09/13/2021,10:00:00,TH teste,27.8,10
09/13/2021,10:00:00,TH-Suporte,25.0,10
09/13/2021,11:00:00,TH-Caruru,26.5,11
09/13/2021,11:00:00,TH-Suporte,24.4,11
09/13/2021,11:00:01,TH teste,27.8,11
09/13/2021,12:00:00,TH-Caruru,26.7,12
09/13/2021,12:00:00,TH teste,27.8,12
09/13/2021,12:00:00,TH-Suporte,23.9,12
09/13/2021,13:00:00,TH teste,27.8,13
09/13/2021,13:00:00,TH-Caruru,26.7,13
09/13/2021,13:00:01,TH-Suporte,23.4,13
09/13/2021,14:00:00,TH teste,27.8,14
09/13/2021,14:00:00,TH-Suporte,23.4,14
09/13/2021,14:00:01,TH-Caruru,26.7,14
09/13/2021,15:00:00,TH teste,27.8,15
09/13/2021,15:00:00,TH-Caruru,26.8,15
09/13/2021,15:00:00,TH-Suporte,23.4,15
09/13/2021,16:00:00,TH-Caruru,26.8,16
09/13/2021,16:00:00,TH-Suporte,23.3,16
