nome,data,hora,potencia,hora_simples
Pow-ACSuporte,18/10/2021,00:00:00,0,00
Pow-ACSuporte,18/10/2021,01:00:00,0,01
Pow-ACSuporte,18/10/2021,02:00:00,0,02
Pow-ACSuporte,18/10/2021,03:00:00,0,03
Pow-ACSuporte,18/10/2021,04:00:00,0,04
Pow-ACSuporte,18/10/2021,05:00:00,0,05
Pow-ACSuporte,18/10/2021,06:00:00,0,06
Pow-ACSuporte,18/10/2021,07:00:00,1518,07
Pow-ACSuporte,18/10/2021,08:00:00,1921,08
Pow-ACSuporte,18/10/2021,09:00:00,1930,09
Pow-ACSuporte,18/10/2021,10:00:00,1966,10
Pow-ACSuporte,18/10/2021,11:00:00,1989,11
Pow-ACSuporte,18/10/2021,12:00:00,2012,12
Pow-ACSuporte,18/10/2021,13:00:00,1989,13
Pow-ACSuporte,18/10/2021,14:00:00,1981,14
Pow-ACSuporte,18/10/2021,15:00:00,1961,15
Pow-ACSuporte,18/10/2021,16:00:00,1950,16
Pow-ACSuporte,18/10/2021,17:00:00,1682,17
Pow-ACSuporte,18/10/2021,18:00:00,0,18
Pow-ACSuporte,18/10/2021,19:00:00,0,19
Pow-ACSuporte,18/10/2021,20:00:00,0,20
Pow-ACSuporte,18/10/2021,21:00:00,0,21
Pow-ACSuporte,18/10/2021,22:00:00,0,22
Pow-ACSuporte,18/10/2021,23:00:00,0,23
Pow-ACSuporte,19/10/2021,00:00:00,0,00
Pow-ACSuporte,19/10/2021,01:00:00,0,01
Pow-ACSuporte,19/10/2021,02:00:00,0,02
Pow-ACSuporte,19/10/2021,03:00:00,0,03
Pow-ACSuporte,19/10/2021,04:00:00,0,04
Pow-ACSuporte,19/10/2021,05:00:00,0,05
Pow-ACSuporte,19/10/2021,06:00:00,0,06
Pow-ACSuporte,19/10/2021,07:00:00,0,07
Pow-ACSuporte,19/10/2021,08:00:00,1717,08
Pow-ACSuporte,19/10/2021,09:00:00,1962,09
Pow-ACSuporte,19/10/2021,10:00:00,1966,10
Pow-ACSuporte,19/10/2021,11:00:00,2006,11
Pow-ACSuporte,19/10/2021,12:00:00,2005,12
Pow-ACSuporte,19/10/2021,13:00:00,2004,13
Pow-ACSuporte,19/10/2021,14:00:00,1997,14
Pow-ACSuporte,19/10/2021,15:00:00,1979,15
Pow-ACSuporte,19/10/2021,16:00:00,1921,16
Pow-ACSuporte,19/10/2021,17:00:00,1641,17
Pow-ACSuporte,19/10/2021,18:00:00,0,18
Pow-ACSuporte,19/10/2021,19:00:00,0,19
Pow-ACSuporte,19/10/2021,20:00:00,0,20
Pow-ACSuporte,19/10/2021,21:00:00,0,21
Pow-ACSuporte,19/10/2021,22:00:00,0,22
Pow-ACSuporte,19/10/2021,23:00:00,0,23
Pow-ACSuporte,20/10/2021,00:00:00,0,00
Pow-ACSuporte,20/10/2021,01:00:00,0,01
Pow-ACSuporte,20/10/2021,02:00:00,0,02
